Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
171	Buffagni, A., Cazzola, M., Lopez-Rodrigues, M. J., Alba-Tercedor, J., Murphy, J., Sandin, L., & Schmidt-Kloiber, A. (n.d.). Ephemeroptera (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
172	Zwick, P., Zittra, C., Lechtthaler, W., Moog, O., Mohrig, W., Car, M., Oosterbroek, P., & Reusch, H. (2002). Diptera (except Chironomidae). In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
173	Chovanec, A., Holzinger, W. E., Janecek, B. F. U., & Moog, O. (2017). Odonata. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (3rd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
174	Dijkstra, K.-D. B., Wildermuth, H., & Martens, A. (n.d.). Odonata (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
175	Gaviria, S., Hödl, W., Schernhammer, T., Moog, O., Eder, E., Pöckl, M., Borza, P., Nesemann, H., Wittmann, K., Forro, L., Jersabek, C. D., Schabetsberger, R., Herzig, A., Posipisil, P., & Konecny, R. (2002). Crustacea. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-35-5174-004-2	ISBN-13
176	Graf, W., Murphy, J., Dahl, J., Zamora-Munoz, C., & Lopez-Rodriguez, M. J. (2008). Distribution and ecological preferences of European freshwater organisms. Volume 1. Trichoptera (A. Schmidt-Kloiber & D. Hering, Eds.; Vol. 1). Pensoft Publishing. http://www.pensoft.net/newreleases/14279-toc.html	Analogue	Book chapter		Metaanalysis		Europe	2008	978-95-4642-441-9	ISBN-13
177	Graf, W., Lorenz, A., de Figueroa, J. M. T., Lücke, S., López-Rodríguez, M. J., & Davies, C. E. (2009). Distribution and ecological preferences of European freshwater organisms: Volume 2 Plecoptera. Pensoft Publishing. http://www.pensoft.net/notes/14416.stm	Analogue	Book chapter		Metaanalysis		Europe	2009	978-95-4642-479-2	ISBN-13
178	Graf, W., Lorenz, A., Tierno de Figueroa, J. M., Lücke, S., Lopez-Rodrigues, M. J., Murphy, J., & Schmidt-Kloiber, A. (n.d.). Plecoptera (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
179	Graf, W., Murphy, J., Schmidt-Kloiber, A., & Lopez-Rodrigues, M. J. (n.d.). Trichoptera (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
180	Graf, W., Grasser, U., & Waringer, J. (1995). Trichoptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (1st ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	1995	38-5174-004-1	ISBN-10
181	Graf, W., Grasser, U., & Waringer, J. (2002). Trichoptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
182	Graf, W., Grasser, U., & Weinzierl, A. (1995). Plecoptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (1st ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	1995	38-5174-004-1	ISBN-10
183	Graf, W., Grasser, U., & Weinzierl, A. (2002). Plecotpera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
184	Hoerren, T., Heckes, U., Hess, M., & Lopez-Rodrigues, M. J. (n.d.). Coleoptera (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
185	Huemer, P., & Tarmann, G. (2002). Lepidoptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
186	Brojer, M., Jäch, M. A., Kodada, J., & Moog, O. (2002). Coleoptera: Water beetles. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
187	Lorenz, A., & Leitner, P. (n.d.). Additional ecological preferences and biological traits classifications (Version 8.0) [Dataset]. www.freshwaterecology.info - the taxa and autecology database for freshwater organisms. www.freshwaterecology.info	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
188	Janecek, B. F. U., Orendt, C., Saxl, R., Moog, O., Moritz, C., & Contreras-Lichtenberg, R. (2017). Diptera: Coleoptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (3rd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
189	Bauernfeind, E., Weichselbaumer, P., Leitner, P., & Moog, O. (2017). Ephemeroptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (3rd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
190	Pöckl, M., Borza, P., Nesemann, N., & Moog, O. (2017). Crustacea: Amphipoda, Isopoda, Decapoda. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (3rd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
191	Reischütz, A., Reischütz, P. L., Nesemann, N., & Moog, O. (2002). Gastropoda. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
192	Pöckl, M., Borza, P., Nesemann, N., & Moog, O. (2002). Crustacea: Amphipoda, Isopoda, Decapoda. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
193	Reischütz, A., Reischütz, P. L., Nesemann, N., & Moog, O. (2002). Mollusca. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
194	Schmedtje, U., & Colling, M. (1996). Ökologische typisierung der aquatischen makrofauna. Bayerisches Landesamt für Wasserwirtschaft.	Analogue	Book		Metaanalysis		Germany	1996	39-3025-370-4	ISBN-10
195	Wiberg-Larsen, P., & Karsholt, O. (1999). The traffic of adult Trichoptera above the city of Copenhagen (Denmark). Entomologiske Meddelelser, 67, 123–136.	Analogue	Primary literature		Visual observation	Light trapping	Denmark	1999	https://danbif.dk/research-files/litteratur/entomologiske-meddelelser/bind-67/wiberg-larsen__p.___o._karsholt__1999.pdf	URL
196	Wittmann, K. (2017). Crustacea: Mysida. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (3rd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2017	978-38-5174-074-5	ISBN-13
197	Dataset Crustacea". <a href="http://www.freshwaterecology.info" target="_blank">www.freshwaterecology.info - the taxa and autecology database for freshwater organisms</a>	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
198	Dataset Gastropoda". <a href="http://www.freshwaterecology.info" target="_blank">www.freshwaterecology.info - the taxa and autecology database for freshwater organisms</a>	Digital	Database		Metaanalysis		Europe	NA	www.freshwaterecology.info	URL
199	Zettel, H., & Rabitsch, W. (2002). Heteroptera. In Moog, O. & A. Hartmann (Eds.): Fauna Aquatica Austriaca (2nd ed.). BMLFUW.	Analogue	Book chapter		Metaanalysis		Austria	2002	978-38-5174-004-2	ISBN-13
200	Ho, H.-C. (2022). Data and R script (Blue and green food webs respond differently to elevation and land use) [Dataset]. figshare. https://doi.org/10.6084/m9.figshare.17817152.v1	Digital	Database		Metaweb	The diet of generalist birds were infered based on expert knowledge on feeding behaviour and habitat association	Switzerland	2022	10.6084/m9.figshare.17817152.v1	DOI
201	Lurz, P. W. W., Hayssen, V., Geissler, K., & Bertolino, S. (2013). Callosciurus erythraeus (Rodentia: Sciuridae). Mammalian Species, 45(902), 60–74. https://doi.org/10.1644/902.1	Analogue	Primary literature		NA		Europe	2013	10.1644/902.1	DOI
202	Jackson, R. R., Jakob, E. M., Willey, M. B., & Campbell, G. E. (1993). Anti-predator defences of a web-building spider, Holocnemus pluchei (Araneae, Pholcidae). Journal of Zoology, 229(2), 347–352. https://doi.org/10.1111/j.1469-7998.1993.tb02641.x	Analogue	Primary literature		Experimental observation; Visual observation		USA	1993	10.1111/j.1469-7998.1993.tb02641.x	DOI
203	Hornigold, K. (2018). Grass Snake (Natrix helvetica). Woodland Trust. https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/reptiles-and-amphibians/grass-snake/	Analogue	Institutional website		NA		United Kingdom	NA	https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/reptiles-and-amphibians/grass-snake/	URL
204	The National Wildlife Federation. (n.d.). Millipedes. Retrieved 5 July 2023, from https://www.nwf.org/Home/Educational-Resources/Wildlife-Guide/Invertebrates/Millipedes	Analogue	Institutional website		NA		USA	NA	https://www.nwf.org/Home/Educational-Resources/Wildlife-Guide/Invertebrates/Millipedes	URL
205	Cabrera, B. J. (2002). Drugstore Beetle, Stegobium paniceum (L.) (Insecta: Coleoptera: Anobiidae): EENY-228/IN385, 8/2001. EDIS, 2002(9). https://doi.org/10.32473/edis-in385-2001	Analogue	Scientific website		Metaanalysis		USA	2002	10.32473/edis-in385-2001	DOI
206	Minelli, A. (2015). Treatise on Zoology—Anatomy, Taxonomy, Biology. The Myriapoda, Volume 2. Brill. https://doi.org/10.1163/9789004188273	Analogue	Book		NA		Global	2015	10.1163/9789004188273	DOI
207	Golovatch, S. I., & Kime, R. D. (2009). Millipede (Diplopoda) distributions: A review. Soil Organisms, 81(3), 565.	Analogue	Primary literature		NA		Global	2009	https://soil-organisms.org/index.php/SO/article/view/210	URL
208	Aspöck, H. (2002). The biology of Raphidioptera: A review of present knowledge. Acta Zoologica Academiae Scientiarum Hungaricae, (48), 35-50.	Analogue	Primary literature		Experimental observation; Visual observation		Global	2002	http://regi.smmi.hu/termtud/neurohu/pdf/1513.pdf	URL
209	Sendra, A., Jiménez-Valverde, A., Selfa, J., & Reboleira, A. S. P. S. (2021). Diversity, ecology, distribution and biogeography of Diplura. Insect Conservation and Diversity, 14(4), 415–425. https://doi.org/10.1111/icad.12480	Analogue	Primary literature		Metaanalysis		Global	2021	10.1111/icad.12480	DOI
210	Ševčík, M., Benda, P., & Uhrin, M. (2011). First records of the bat fly Phthiridium biarticulatum (Diptera: Nycteribiidae) in Crimea. Vespertilio, 15, 159–160.	Analogue	Primary literature		Visual observation	Trapping	Ukraine	2011	https://nm.cz/admin/files/PM/download/zivotopisy-publikace/sevcik2011vesp.pdf	URL
211	Lehikoinen, A., Pohjola, P., Valkama, J., Mutanen, M., & Pohjoismäki, J. L. O. (2021). Promiscuous specialists: Host specificity patterns among generalist louse flies. PLOS ONE, 16(5), e0247698. https://doi.org/10.1371/journal.pone.0247698	Analogue	Primary literature		Visual observation	Via ringing of birds	Finland	2021	10.1371/journal.pone.0247698	DOI
212	Trilar, T., & Krčmar, S. (2005). Contribution to the knowledge of louse flies of Croatia (Diptera: Hippoboscidae) / Prilog poznavanju faune ušara Hrvatske (Diptera: Hippoboscidae). Natura Croatica, 14, 131–140.	Analogue	Primary literature		Visual observation		Croatia	2005	https://www.researchgate.net/publication/27193475_Contribution_to_the_knowledge_of_louse_flies_of_Croatia_Diptera_Hippoboscidae_Prilog_poznavanju_faune_usara_Hrvatske_Diptera_Hippoboscidae	URL
213	Stuke, J.-H. (2015). Der Kenntnisstand zum Vorkommen von Lausfliegen auf Vögeln in Niedersachsen und Bremen (Diptera: Hippoboscidae). Vogelkundliche Berichte Aus Niedersachsen, 44, 79-83.	Analogue	Primary literature		Metaanalysis		Germany	2015	https://www.ornithologie-niedersachsen.de/fileadmin/user/publikationen/vbn/Jahrgang_44/44_vbn_79-83.pdf	URL
214	Miguélez, D., García-Tejero, S., Hernández, Á., & Valladares, L. F. (2016). Diet Selection of the Aquatic Warbler Acrocephalus paludicola During Its Post-Nuptial Migration Stopover in NW Spain. Ardea, 104(3), 273–282. https://doi.org/10.5253/arde.v104i3.a4	Analogue	Primary literature		Visual observation; Morphological analysis	Morphological analysis of feces	Spain	2016	10.5253/arde.v104i3.a4.	DOI
215	Abella, J. C., Moretti, M., Pellissier, L., Keller, A., Müller, S., Samson, R., Pinho, P., Chiron, F., Laanisto, L., Tryjanowski, P., & Villalba, L. V. (2021). Larval food composition of four wild bee species in five European cities. EnviDat. http://dx.doi.org/10.16904/envidat.249	Digital	Primary literature		DNA metabarcoding	Analysis of pollen; bee traps	Europe	2022	10.16904/envidat.249	DOI
216	Gumier-Costa, F., Lopes-Andrade, C. & Zacaro, A. A. 2003. Association of Ceracis cornifer (Mellié) (Coleoptera: Ciidae) with the bracket fungi Pycnoporus sanguineus (Basidiomycetes: Polyporaceae). Neotropical Entomology, 32(2): 359–360. https://doi.org/10.1590/S1519-566X2003000200026	Analogue	Primary literature		NA		Brazil	2023	10.1590/S1519-566X2003000200026	DOI
217	Calder, A. (2006). DERMESTIDAE. Australian Government – Department of Climate Change, Energy, the Environment and Water. https://biodiversity.org.au/afd/taxa/DERMESTIDAE	Analogue	Institutional website		NA		Australia	2006	https://biodiversity.org.au/afd/taxa/DERMESTIDAE	URL
218	Geotrupidae. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Geotrupidae&oldid=1145706525	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Geotrupidae&oldid=1145706525	URL
219	Balfour-Browne, F. (1922). 5. The Life-History of the Water-Beetle Pelobius tardus Herbst. Proceedings of the Zoological Society of London, 92(1), 79–97. https://doi.org/10.1111/j.1096-3642.1922.tb03300.x	Analogue	Primary literature		NA		United Kingdom	1922	10.1111/j.1096-3642.1922.tb03300.x	DOI
220	Möller, G., Grube, R., & Wachmann, E. (2006). Der Fauna Käferführer. Fauna-Verlag.	Analogue	Primary literature		NA		Germany	2006	978-39-3598-025-8	ISBN-13
221	Kim, S. I., & Farrell, B. D. (2015). Phylogeny of world stag beetles (Coleoptera: Lucanidae) reveals a Gondwanan origin of Darwin’s stag beetle. Molecular Phylogenetics and Evolution, 86, 35–48. https://doi.org/10.1016/j.ympev.2015.02.015	Analogue	Primary literature		NA		USA	2015	10.1016/j.ympev.2015.02.015	DOI
222	Onthophagus. (2022). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Onthophagus&oldid=1086019190	Analogue	Voluntary website		NA		NA	2022	https://en.wikipedia.org/w/index.php?title=Onthophagus&oldid=1086019190	URL
223	Trox. (2022). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Trox&oldid=1116247274	Analogue	Voluntary website		NA		NA	2022	https://en.wikipedia.org/w/index.php?title=Trox&oldid=1116247274	URL
224	McClarin, J., Coin, P., Moisset, B., & Marfus, V. (2014). Species Tenebroides mauritanicus—Cadelle. https://bugguide.net/node/view/38203	Analogue	Scientific website		NA		North America	2015	https://bugguide.net/node/view/38203	URL
225	Bayless, K., Kropiewnicki, T., Carr, J. F., & Marfus, V. (2014). Genus Cerodontha. https://bugguide.net/node/view/239121	Analogue	Scientific website		NA		North America	2015	https://bugguide.net/node/view/239121	URL
226	Pitkin, B., Ellis, W. N., Plant, C., & Edmunds, R. (2019). Chromatomyia horticola [Diptera: Agromyzidae] in Leaf and stem mines of British flies and other insects. http://www.ukflymines.co.uk/Flies/Chromatomyia_horticola.php	Analogue	Scientific website		NA		United Kingdom	2019	http://www.ukflymines.co.uk/Flies/Chromatomyia_horticola.php	URL
227	Maurice, T. J. (1947). The flies that cause myiasis in man. Washington, D.C, U.S. Dept. of Agriculture. https://doi.org/10.5962/bhl.title.65688	Analogue	Book		NA		USA	1947	10.5962/bhl.title.65688	DOI
228	Matheson, R. (1932). Medical Entomology. Comstock Publishing Company Inc.	Analogue	Book		NA		USA	1932	978-14-4372-540-8	ISBN-13
229	Funk, W. (n.d.). Insektenbox: Conops scutellatus. Retrieved 7 March 2023, from http://www.insektenbox.de/zweifl/conscu.htm	Analogue	Voluntary website		NA		Germany	2023	http://www.insektenbox.de/zweifl/conscu.htm	URL
230	Máca, J., & Otranto, D. (2014). Drosophilidae feeding on animals and the inherent mystery of their parasitism. Parasites & Vectors, 7(1), 516. https://doi.org/10.1186/s13071-014-0516-4	Analogue	Primary literature		Metaanalysis		NA	2014	10.1186/s13071-014-0516-4	DOI
231	Kits, J., Moisset, B., Bayless, K., Barnd, B., Kropiewnicki, T., Collins, N., Marfus, V., Hess, M., & Santos, A. (2023). Family Lonchaeidae—Lance Flies. https://bugguide.net/node/view/14162	Analogue	Scientific website		NA		North America	2005	https://bugguide.net/node/view/14162	URL
232	Pérez-Marcos, M., García, M. D., López-Gallego, E., Ramírez-Soria, M. J., & Arnaldos, M. I. (2022). Life Cycle and Biometric Study of Hydrotaea capensis (Wiedemann, 1818) (Diptera, Muscidae), a Species of Forensic Interest. Insects, 13(6), Article 6. https://doi.org/10.3390/insects13060531	Analogue	Primary literature		Metaanalysis; Experimental observation		NA	2022	10.3390/insects13060531	DOI
233	Matile, L. (2016). Family: Mycetophagidae. In Evenhuis, N.L. (ed.), Catalog of the Diptera of the Australasian and Oceanian Regions. (Online version). http://hbs.bishopmuseum.org/aocat/myceto.html	Analogue	Scientific website		NA		Australia	2016	http://hbs.bishopmuseum.org/aocat/myceto.html	URL
234	Platystoma seminationis. (2022). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Platystoma_seminationis&oldid=223396392	Analogue	Voluntary website		NA		NA	2022	https://de.wikipedia.org/w/index.php?title=Platystoma_seminationis&oldid=223396392	URL
235	Miltogramma punctata. (2021). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Miltogramma_punctata&oldid=1001662803	Analogue	Voluntary website		NA		NA	2021	https://en.wikipedia.org/w/index.php?title=Miltogramma_punctata&oldid=1001662803	URL
236	Sarcophaga. (2022). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Sarcophaga&oldid=1105458220	Analogue	Voluntary website		NA		NA	2022	https://en.wikipedia.org/w/index.php?title=Sarcophaga&oldid=1105458220	URL
237	Westrich, P. (2023). Steckbrief: Epeoloides coecutiens. Faszination Wildbienen. https://www.wildbienen.info/steckbriefe/epeoloides_coecutiens.php	Analogue	Scientific website		NA		Germany	2023	https://www.wildbienen.info/steckbriefe/epeoloides_coecutiens.php	URL
238	McLeod, R., Quinn, M., Marfus, V., Kittelberger, K., & Hendrix, S. V. (2015). Genus Cixidia. https://bugguide.net/node/view/9977	Analogue	Scientific website		NA		North America	2015	https://bugguide.net/node/view/9977	URL
239	Caliscelis bonellii. (2019). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Caliscelis_bonellii&oldid=190627311	Analogue	Voluntary website		NA		NA	2019	https://de.wikipedia.org/w/index.php?title=Caliscelis_bonellii&oldid=190627311	URL
240	Haselböck, A. (2023). Haematoloma dorsatum / Kiefernblutzikade / Blutzikaden—Cercopidae. https://www.naturspaziergang.de/Zikaden/Haematoloma_dorsatum.htm	Analogue	Voluntary website		NA		Germany	2023	https://www.naturspaziergang.de/Zikaden/Haematoloma_dorsatum.htm	URL
241	Hertach, T., & Nagel, P. (2013). Cicadas in Switzerland: A scientific overview of the historic and current knowledge of a popular taxon (Hemiptera: Cicadidae). Revue Suisse de Zoologie; Annales de La Société Zoologique Suisse et Du Muséum d’histoire Naturelle de Genève, 120, 229–269.	Analogue	Primary literature		Metaanalysis		Switzerland	2013	https://edoc.unibas.ch/30937/	URL
242	Oeciacus hirundinis. (2019). In Wikipédia. https://fr.wikipedia.org/w/index.php?title=Oeciacus_hirundinis&oldid=163632344	Analogue	Voluntary website		NA		NA	2019	https://fr.wikipedia.org/w/index.php?title=Oeciacus_hirundinis&oldid=163632344	URL
243	Remane, R., & Wachmann, E. (1993). Zikaden: Kennenlernen—Beobachten. In Zikaden kennenlernen—Beobachten. Naturbuch Verlag.	Analogue	Book		NA		Germany	1993	38-9440-044-7	ISBN-10
244	Bantock, T., & Botting, J. (n.d.). Tingidae. British Bugs. Retrieved 20 October 2022, from https://www.britishbugs.org.uk/gallery/heteroptera/Tingidae/tingidae.html	Analogue	Scientific website		NA		United Kingdom	NA	https://www.britishbugs.org.uk/gallery/heteroptera/Tingidae/tingidae.html	URL
245	Brutparasitismus. (2023). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Brutparasitismus&oldid=233616798	Analogue	Voluntary website		NA		NA	2023	https://de.wikipedia.org/w/index.php?title=Brutparasitismus&oldid=233616798	URL
246	Eaton, E. R., Moisset, B., Marfus, V., & Hess, M. (2023). Species Stephanitis pyrioides—Azalea Lace Bug. https://bugguide.net/node/view/85817	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/85817	URL
247	Green, A. J. (2019, April 14). Arge rustica (Linnaeus, 1758)—Sawflies. https://www.sawflies.org.uk/arge-rustica/	Analogue	Scientific website		NA		United Kingdom; Ireland	2019	https://www.sawflies.org.uk/arge-rustica/	URL
248	Blösch, M. (2000). Die Grabwespen Deutschlands: Sphecidae s.str., Crabronidae: Lebensweise, Verhalten, Verbreitung. In Die Grabwespen Deutschlands Sphecidae s.str., Crabronidae: Lebensweise, Verhalten, Verbreitung. Goecke & Evers.	Analogue	Book		NA		Germany	2000	39-3137-426-2	ISBN-10
249	Muus, T. S. T. (2009). Microlepidoptera.nl—Agonopterix laterella (Denis & Schiffermüller, 1775). https://web.archive.org/web/20110212060123/http://microlepidoptera.nl/soorten/species.php?speciescode=230220&p=1	Analogue	Scientific website		NA		Netherlands	2009	https://web.archive.org/web/20110212060123/http://microlepidoptera.nl/soorten/species.php?speciescode=230220&p=1	URL
250	Muus, T. S. T., & Corver, S.C. (2011). Microlepidoptera.nl—Agonopterix oinochroa (Turati, 1879). https://microvlinders.nl/soorten/species.php?speciescode=216&p=1	Analogue	Scientific website		NA		Netherlands	2011	https://microvlinders.nl/soorten/species.php?speciescode=216&p=1	URL
251	Rönkä, K., Mappes, J., Kaila, L., & Wahlberg, N. (2016). Putting Parasemia in its phylogenetic place: A molecular analysis of the subtribe Arctiina (Lepidoptera). Systematic Entomology, 41(4), 844–853. https://doi.org/10.1111/syen.12194	Analogue	Primary literature		NA		NA	2016	10.1111/syen.12194	DOI
252	Bellmann, H. (2009). Der neue Kosmos-Schmetterlingsführer: [Schmetterlinge, Raupen und Futterpflanzen]. In Der neue Kosmos-Schmetterlingsführer [Schmetterlinge, Raupen und Futterpflanzen]. Kosmos.	Analogue	Book		NA		Germany	2003	978-34-4011-965-5	ISBN-13
253	Wagner, W. (n.d.). Chelis simplonica (Boisduval, 1840). Lepidoptera and Their Ecology. Retrieved 15 February 2023, from http://www.pyrgus.de/Chelis_simplonica_en.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Chelis_simplonica_en.html	URL
254	Mazzei, P., Morel, D., & Panfili, R. (n.d.). Moths and Butterflies of Europe and North Africa. Retrieved 6 March 2023, from https://leps.it/	Analogue	Scientific website		NA		Europe; North Africa	NA	https://leps.it/	URL
255	Forster, W., & Wohlfahrt, T. A. (1977). Die Schmetterlinge Mitteleuropas (2. Aufl.). Franckh.	Analogue	Book		NA		Germany	1977	B006DELR36	ASIN
256	Petry, A., & Bergmann, A. (1951). Eulen. In Die Grossschmetterlinge Mitteldeutschlands: Unter besonderer Berücksichtigung der Formenbildung. (Vol. 4). Urania.	Analogue	Book		NA		Germany	1951	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/1ufb5t2/alma991045710659705501	URL
257	Wagner, W. (n.d.). Europäische Heuschecken und ihre Ökologie: Artenübersicht: Tettigoniidae. Retrieved 1 May 2023, from http://www.pyrgus.de/arten.php?familie=Tettigoniidae&gruppe=saltatoria	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/arten.php?familie=Tettigoniidae&gruppe=saltatoria	URL
258	Ziegler, H. (n.d.). Agrotis fatidica in euroleps.ch, © Heiner Ziegler. Retrieved 15 August 2022, from https://www.euroleps.ch/seiten/s_art.php?art=noct_fatidica	Analogue	Scientific website		NA		Europe; Asia	NA	https://www.euroleps.ch/seiten/s_art.php?art=noct_fatidica	URL
259	Kimber, I. (n.d.). Dasycera oliviella. UKMOTHS. Retrieved 6 May 2023, from https://www.ukmoths.org.uk/species/dasycera-oliviella/adult/	Analogue	Scientific website		NA		United Kingdom; Ireland	NA	https://www.ukmoths.org.uk/species/dasycera-oliviella/adult/	URL
260	Natural History Museum, Pitkin, B., & Jenkins, P. (2023). Butterflies and Moths of the World. Natural History Museum. https://doi.org/10.5519/S93616QW	Analogue	Book		NA		NA	2023	10.5519/S93616QW	DOI
261	Wagner, W. (n.d.). European locusts and their ecology: Acheta domestica. Retrieved 1 May 2023, from http://www.pyrgus.de/Acheta_domestica_en.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Acheta_domestica_en.html	URL
262	Hodges, R. W. (1999). The Gelechioidea. In Kristensen, N.P. (ed.): Handbuch der Zoologie / Handbook of Zoology, Band 4: Volume IV – Arthropoda: Insecta. Part 35: Lepidoptera, Moths and Butterflies (pp. 131–158). de Gruyter.	Analogue	Book		NA		Global	1999	978-31-1015-704-8	ISBN-13
263	Luffia lapidella. (2020). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Luffia_lapidella&oldid=960325209	Analogue	Voluntary website		NA		NA	2020	https://en.wikipedia.org/w/index.php?title=Luffia_lapidella&oldid=960325209	URL
264	Lesser wax moth. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Lesser_wax_moth&oldid=1109086798	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Lesser_wax_moth&oldid=1109086798	URL
265	Prevett, P. (1968). Some laboratory observations on the life-cycle of Cadra calidella (Guen.)(Lepidoptera: Phycitidae). Journal of Stored Products Research, 4(3), 233–238. https://doi.org/10.1016/0022-474X(68)90014-3	Analogue	Primary literature		NA		NA	1968	10.1016/0022-474X(68)90014-3	DOI
266	Grabe, A. (1942). Eigenartige Geschmacksrichtungen bei Kleinschmetterlingsraupen.(Strange tastes among micromoth caterpillars). Zeitschrift Des Wiener Entomologen-Vereins, 27, 105–109.	Analogue	Primary literature		NA		Austria	1942	https://www.zobodat.at/pdf/ZOEV_27_0105-0109.pdf	URL
267	Jacobs, S., & Calvin, D. (1988). Mediterranean Flour Moth. Penn Dtate College of Agricultural Sciences. https://extension.psu.edu/mediterranean-flour-moth	Analogue	Scientific website		NA		NA	1988	https://extension.psu.edu/mediterranean-flour-moth	URL
